SMILES	STRID
#CxSMILES	Catalog_ID
CC1=CC(=C(C)[N]1CCC2=CC=CC=C2)C(=O)CCl	EN300-08261
CC1=CC(=C(C)[N]1CCC2=CC=C(C=C2)Cl)C(=O)CCl	EN300-08263
CCOC(=O)C1=C(C)[NH]C(=C1C)C(=O)C(C)Cl	EN300-08472
ClCC(=O)C1=CC3=C2C(=C1)CCCN2C(C3)=O	EN300-13775
COC1=C(C=C(C=C1)C(=O)CCl)F	EN300-12761
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)[S](=O)(=O)N)C(=O)CCl	EN300-10688
COC(=O)CC[N]1C(=CC(=C1C)C(=O)CCl)C	EN300-10160
CCCC(=O)NC1=CC=C(C=C1)C(=O)CCl	EN300-11465
CSC1=CC(=CC=C1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-09565
COCCC[N]1C(=CC(=C1C)C(=O)CCl)C	EN300-09126
COC1=C(C=C(C=C1)C(=O)CCl)Br	EN300-11196
ClC1=CC=C(S1)C(=O)CBr	EN300-01910
CC1=C(C=C(C=C1)C(=O)CCl)C	EN300-02021
CCOC(=O)C1=C(C)[NH]C(=C1C(=O)CCl)C	EN300-04248
CC1=CC=C(C=C1)C(Cl)C(=O)C2=CC=C(C=C2)C	EN300-01864
FC1=C(C=C(C=C1)C(=O)CCl)F	EN300-01950
BrCC(=O)C2=C1C=CC=CC1=CC=C2	EN300-01888
FC(F)(F)C1=CC(=CC=C1)C(=O)CBr	EN300-01884
ClCC(=O)C1=CC(=C(C=C1)Cl)Cl	EN300-02022
CC(=C(C#N)C(=O)CCl)N	EN300-01914
CC1=C(C=C(C=C1)C(=O)CBr)C	EN300-02053
ClCC(=O)C1=CC2=C(C=C1)CC3=C2C=CC=C3	EN300-01892
CC(C)(C)C1=CC=C(C=C1)C(=O)CBr	EN300-01953
CC1=C(C=C(C(=C1)C)C(=O)CCl)C	EN300-02070
CC(Br)C(=O)C1=CC=CC=C1	EN300-20881
BrC2CCC1=C(C=CC=C1)C2=O	EN300-21951
CC(Br)C(=O)C1=CC(=CC=C1)Cl	EN300-07111
CC(Br)C(=O)C1=CC=C(C=C1)F	EN300-21952
CCCCCCC1=CC=C(C=C1)C(=O)CCl	EN300-02045
C[N]1C(=C(C(=O)CCl)C2=C1C=CC=C2)C3=CC=CC=C3	EN300-04454
CCC(=O)NC1=CC=C(C=C1)C(=O)CCl	EN300-05328
COC1=C(C=C(C=C1)C(=O)CBr)OC	EN300-05000
CC(=O)NCC1=CC=C(O1)C(=O)CCl	EN300-06476
CC(Cl)C(=O)C1=CC(=C(C=C1)F)F	EN300-05809
CCOC1=CC=C(C=C1)C(=O)CBr	EN300-08507
COC1=CC=C(C=C1)C(Cl)C(=O)C2=CC=C(C=C2)OC	EN300-01823
FC1=C(C=CC=C1)CC(=O)CCl	EN300-39934
FC1=CC=C(C=C1)CC(=O)CCl	EN300-39939
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)CCl	EN300-08107
CC1=CC(=C(C)[N]1CC=C)C(=O)CCl	EN300-04908
CC(C)CC(=O)NC1=CC=C(C=C1)C(=O)CCl	EN300-05324
ClCC(=O)C1=CC=C[NH]1	EN300-05436
COC2=C1OC(C(=CC1=CC=C2)C(=O)CBr)=O	EN300-01917
CCC2=C1[NH]C=C(C1=CC=C2)C(=O)CCl	EN300-05437
COC1=CC(=C(C=C1)C(=O)CCl)OC	EN300-06197
CC1=CC(=C(C)[N]1C2=C(C=CC=C2)F)C(=O)CCl	EN300-05581
CCCCC1=CC=C(C=C1)C(=O)CCl	EN300-10636
ClC(C(=O)C1=C[NH]C2=C1C=CC=C2)C3=CC=CC=C3	EN300-04277
CCC1=CC=C(C=C1)C(=O)C(C)Cl	EN300-05763
ClCC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2	EN300-13170
ClCC(=O)C1=C[NH]C(=C1)C(=O)N2CCCC2	EN300-15233
CCC(=O)C(C)Br	EN300-50350
CC(C1=CC=CC=C1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-10571
COC(=O)CCCCC[N]1C(=CC(=C1C)C(=O)CCl)C	EN300-10595
COC(=O)C1=C(C)[NH]C(=C1C)C(=O)C(C)Cl	EN300-07297
COC1=C(C=C(C=C1)CC[N]2C(=CC(=C2C)C(=O)CCl)C)OC	EN300-11152
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C(=O)CCl	EN300-08105
C[S](=O)(=O)N1CCC2=C1C=CC(=C2)C(=O)CCl	EN300-11860
CC(Br)C(=O)C1=C(C=C(C=C1)F)F	EN300-23998
CC1C(=O)NC2=C1C=C(C=C2)C(=O)CCl	EN300-13915
CC(=O)NCCC1=CC=C(S1)C(=O)CCl	EN300-15426
CCOC(=O)C1=C(C)[N](CC)C(=C1C(=O)CCl)C	EN300-24123
CC(Cl)C(=O)C1=C(C=CC(=C1)C)C	EN300-05603
FC1=CC=C(C=C1)C(=C(C#N)C(=O)CCl)N2CCOCC2	EN300-07829
FC(F)(F)C1=C(C=CC=C1)C(=O)CBr	EN300-80276
CC1=CC(=C(C)[NH]1)C(=O)CCl	EN300-27026
FC(F)OC1=CC(=CC=C1)C(=O)CBr	EN300-82227
CC1=CC(=C(C(=C1)C)C(=O)CCl)C	EN300-02071
CC(C)(C)C1=CC=C(C=C1)C(=O)CCl	EN300-01981
CC(C)C1=CC=C(C=C1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-09823
CC1=CC(=C(C)[N]1C2=CC(=C(C=C2)F)Cl)C(=O)CCl	EN300-09825
CC1=CC(=C(C)[N]1C2=CC(=CC(=C2)C)C)C(=O)CCl	EN300-09829
CC(Cl)C(=O)C1=CC=C(C=C1)N[S](=O)(=O)C	EN300-11663
CC1=CC(=C(C)[N]1C2=CC(=CC(=C2)Cl)Cl)C(=O)CCl	EN300-10150
BrCC(=O)C1=CC=C(C=C1)[S](=O)(=O)N2CCCC2	EN300-08980
CC1=CC(=C(C=C1)OC(F)F)C(=O)CBr	EN300-17859
CC1=CC(=C(C)[N]1C2=NC=N[NH]2)C(=O)CCl	EN300-10590
ClCC(=O)C1=C(SC(=C1)Br)Br	EN300-12393
CCC1=CC(=C(C=C1)CC)C(=O)CCl	EN300-10749
